"","postcode_2016","longitude","latitude","points","focal_longitude","focal_latitude","focal_dist","focal_angle","rownumber","hex_long","hex_lat","hex_id"
"13","0820",130.865060057933,-12.423328424766,"Darwin",130.8500386,-12.42535398,1648.57874085612,82.1368208646803,13,130.814389268733,-12.3942120130293,42144
"14","3004",144.977187582484,-37.8349171686005,"Melbourne",144.9750162,-37.82003131,1663.25732084508,173.426918727897,14,145.014389268733,-38.0285639650487,9803
"15","2612",149.147631640919,-35.2836539994733,"Canberra",149.1290262,-35.28302855,1694.00893381115,92.3528057838523,15,149.214389268733,-35.2572826729385,13328
"16","6003",115.855534597586,-31.946167683148,"Perth",115.8399987,-31.95501463,1766.30309265763,56.1293784248152,16,115.914389268733,-31.9663861385576,17322
"17","5005",138.604368628994,-34.9194218849547,"Adelaide",138.6000048,-34.93498777,1772.30641500059,12.9433453837742,17,138.714389268733,-34.7376674306678,13932
"18","2043",151.185866936247,-33.9027513134747,"Sydney",151.1851798,-33.92001097,1915.5158423337,1.89216033945153,18,151.114389268733,-33.6984369461265,15308
"19","3005",144.952541931673,-37.8226598413899,"Melbourne",144.9750162,-37.82003131,2000.14881750531,-98.41519566282,19,144.714389268733,-37.8553588842918,10020
"20","7008",147.284906061586,-42.8664790879297,"Hobart",147.2950297,-42.85000853,2008.09607157683,-155.742004034369,20,147.114389268733,-43.0515113069984,3462
"21","6000",115.86088405806,-31.9502208420454,"Perth",115.8399987,-31.95501463,2044.84411855171,74.85737171533,21,115.814389268733,-31.7931810578007,17541
"22","3065",144.979183295788,-37.8008416025336,"Melbourne",144.9750162,-37.82003131,2161.30676551751,9.73361683483568,22,145.014389268733,-37.6821538035349,10241
"23","3205",144.957222478832,-37.8339466446993,"Melbourne",144.9750162,-37.82003131,2199.89933941827,-134.709143259474,23,144.814389268733,-38.0285639650487,9802
"24","2601",149.104758554116,-35.2815053290384,"Canberra",149.1290262,-35.28302855,2214.18095538227,-85.596100828329,24,149.014389268733,-35.2572826729385,13327
"25","2020",151.182012831348,-33.9400041182928,"Sydney",151.1851798,-33.92001097,2236.91875181949,-172.511653208587,25,151.114389268733,-34.0448471076403,14870
"26","6007",115.837251893095,-31.9349416461577,"Perth",115.8399987,-31.95501463,2240.91808751419,-6.62264392105302,26,115.914389268733,-31.6199759770438,17760
"27","2018",151.208716515862,-33.9248736148478,"Sydney",151.1851798,-33.92001097,2242.25547473365,103.974413015773,27,151.314389268733,-34.0448471076403,14871
"28","3053",144.968077784671,-37.8004499379342,"Melbourne",144.9750162,-37.82003131,2257.64841232565,-15.6370789178713,28,144.914389268733,-37.508948722778,10459
"29","3066",144.988235777308,-37.8017253660126,"Melbourne",144.9750162,-37.82003131,2341.67927701418,29.7017350724511,29,145.114389268733,-37.508948722778,10460
"30","5061",138.60656092401,-34.9555224421795,"Adelaide",138.6000048,-34.93498777,2355.52317463941,165.332371078042,30,138.714389268733,-35.0840775921816,13494
"31","5034",138.589673655738,-34.9545734694427,"Adelaide",138.6000048,-34.93498777,2368.94047192367,-156.61430106664,31,138.514389268733,-35.0840775921816,13493
"32","2042",151.177728060163,-33.8989045926503,"Sydney",151.1851798,-33.92001097,2440.46999053333,-16.328958277692,32,151.214389268733,-33.5252318653696,15528
"33","6008",115.814110369549,-31.9529855266428,"Perth",115.8399987,-31.95501463,2457.81931193683,-84.7153389907423,33,115.514389268733,-31.9663861385576,17320
"34","3121",145.003940237695,-37.8228901918175,"Melbourne",144.9750162,-37.82003131,2566.31843341851,97.1233154826118,34,145.214389268733,-38.0285639650487,9804
"35","5035",138.577780014131,-34.9493817023383,"Adelaide",138.6000048,-34.93498777,2583.03260666772,-128.305177279184,35,138.314389268733,-35.0840775921816,13492
"36","4010",153.043952046238,-27.4329548477836,"Brisbane",153.0350927,-27.45503091,2598.33749266233,19.601180793092,36,153.214389268733,-27.2898489581217,23422
"37","3141",144.991902107613,-37.8392980061013,"Melbourne",144.9750162,-37.82003131,2604.41190094806,145.302397176128,37,145.114389268733,-38.2017690458056,9584
"38","4171",153.061552294545,-27.4550279302015,"Brisbane",153.0350927,-27.45503091,2615.60019968219,89.9866289366285,38,152.914389268733,-27.4630540388785,23201
"39","5063",138.622206627958,-34.9510467850928,"Adelaide",138.6000048,-34.93498777,2699.54517595602,131.418694653771,39,138.914389268733,-35.0840775921816,13495
"40","4059",153.007275635173,-27.4507142915267,"Brisbane",153.0350927,-27.45503091,2791.13528840581,-80.074517077479,40,152.714389268733,-27.4630540388785,23200
"41","3067",144.99962818846,-37.8041088843514,"Melbourne",144.9750162,-37.82003131,2796.46843979334,50.6790341282537,41,145.314389268733,-37.508948722778,10461
