"","sa1_7dig_2011","longitude","latitude","points","focal_longitude","focal_latitude","focal_dist","focal_angle","rownumber","hex_long","hex_lat","hex_id"
"1","2111912",144.97802501612,-37.8167510529234,"Melbourne",144.9750162,-37.82003131,450.270555028297,35.9257611666325,1,144.978381551304,-37.8163221785811,359837
"2","2111911",144.981078346166,-37.8211599691296,"Melbourne",144.9750162,-37.82003131,548.25376881287,103.260271986503,2,144.978381551304,-37.8215183310038,358225
"3","2111914",144.980545586162,-37.8171363920458,"Melbourne",144.9750162,-37.82003131,583.328918224054,56.4634767691728,3,144.976881551304,-37.8189202547924,359030
"4","2112230",144.973169714449,-37.8146648995888,"Melbourne",144.9750162,-37.82003131,617.426816815994,-15.2058532168459,4,144.973881551304,-37.8137241023697,360641
"5","2112612",144.968639422637,-37.8237438160808,"Melbourne",144.9750162,-37.82003131,696.429371806009,-126.389196529613,5,144.967881551304,-37.8241164072152,357415
"6","2112224",144.970239025406,-37.8144122778682,"Melbourne",144.9750162,-37.82003131,752.264776514444,-33.884450705296,6,144.970881551304,-37.8137241023697,360640
"7","2112225",144.967993929604,-37.815620781795,"Melbourne",144.9750162,-37.82003131,788.640611175705,-51.5106753931202,7,144.969381551304,-37.8163221785811,359834
"8","2112611",144.966408990164,-37.8224292641363,"Melbourne",144.9750162,-37.82003131,803.206639558676,-109.42451102753,8,144.969381551304,-37.8215183310038,358222
"9","2112610",144.965394074177,-37.8206147692793,"Melbourne",144.9750162,-37.82003131,849.667394040435,-94.3865851691213,9,144.966381551304,-37.8215183310038,358221
"10","2112208",144.965978764794,-37.8173271844529,"Melbourne",144.9750162,-37.82003131,850.456266839905,-69.2518856640729,10,144.966381551304,-37.8163221785811,359833
"11","2111913",144.979629651994,-37.8131946262611,"Melbourne",144.9750162,-37.82003131,860.716102006665,28.0599198496206,11,144.979881551304,-37.8137241023697,360643
"12","2112625",144.968635330364,-37.8260040992799,"Melbourne",144.9750162,-37.82003131,868.966541185047,-139.837765119415,12,144.970881551304,-37.8241164072152,357416
"13","2112624",144.976710553193,-37.827794551926,"Melbourne",144.9750162,-37.82003131,874.48718985794,170.217946823371,13,144.976881551304,-37.8293125596379,355806
"14","2112231",144.97203057701,-37.8122098972789,"Melbourne",144.9750162,-37.82003131,907.056715063048,-16.7800586398003,14,144.972381551304,-37.8111260261584,361447
"15","2112605",144.969968213093,-37.827287142119,"Melbourne",144.9750162,-37.82003131,919.844965061007,-151.207628985464,15,144.969381551304,-37.8267144834265,356610
"16","2112609",144.964804566667,-37.8218652333333,"Melbourne",144.9750162,-37.82003131,921.846635041383,-102.805399764382,16,144.964881551304,-37.8241164072152,357414
"17","2112604",144.968516933333,-37.8268198,"Melbourne",144.9750162,-37.82003131,946.1286481941,-142.89959434262,17,144.966381551304,-37.8267144834265,356609
"18","2112606",144.965722939817,-37.824492145907,"Melbourne",144.9750162,-37.82003131,956.362812538789,-121.282886614672,18,144.963381551304,-37.8267144834265,356608
"19","2111907",144.984087435268,-37.8151075706869,"Melbourne",144.9750162,-37.82003131,967.791885195999,55.5042796693152,19,144.981381551304,-37.8163221785811,359838
"20","2112209",144.965301605997,-37.8158548605045,"Melbourne",144.9750162,-37.82003131,972.900515585229,-61.4410326167832,20,144.964881551304,-37.8137241023697,360638
"21","2112627",144.963894213861,-37.8220468740266,"Melbourne",144.9750162,-37.82003131,1004.47352890353,-102.91762816441,21,144.963381551304,-37.8215183310038,358220
"22","2112223",144.969106681062,-37.8119556966154,"Melbourne",144.9750162,-37.82003131,1036.42772725743,-30.0299309629175,22,144.969381551304,-37.8111260261584,361446
"23","2112603",144.967314620122,-37.8273426997865,"Melbourne",144.9750162,-37.82003131,1057.51375231303,-140.235266667223,23,144.967881551304,-37.8293125596379,355803
"24","2112607",144.963869370252,-37.8236123611034,"Melbourne",144.9750162,-37.82003131,1058.85428472246,-112.128205325757,24,144.961881551304,-37.8241164072152,357413
"25","2111910",144.975763150313,-37.8102561294579,"Melbourne",144.9750162,-37.82003131,1086.97196949712,3.45427821578464,25,144.975381551304,-37.8111260261584,361448
"26","2112214",144.963048028021,-37.8170611011964,"Melbourne",144.9750162,-37.82003131,1104.14785332569,-72.5555074678221,26,144.963381551304,-37.8163221785811,359832
"27","2112212",144.965405161263,-37.8130352983256,"Melbourne",144.9750162,-37.82003131,1148.53406168412,-47.3384715642629,27,144.966381551304,-37.8111260261584,361445
"28","2111905",144.986683412963,-37.8153925951071,"Melbourne",144.9750162,-37.82003131,1149.096627432,63.2805494809455,28,144.984381551304,-37.8163221785811,359839
"29","2112222",144.968653901578,-37.8109745988707,"Melbourne",144.9750162,-37.82003131,1150.79917260092,-29.0267379425598,29,144.967881551304,-37.808527949947,362251
"30","2112608",144.962236351552,-37.8224983958403,"Melbourne",144.9750162,-37.82003131,1158.04883370612,-103.729038279373,30,144.960381551304,-37.8215183310038,358219
"31","2112613",144.9631375695,-37.8246696465704,"Melbourne",144.9750162,-37.82003131,1165.69146450177,-116.300825860615,31,144.960381551304,-37.8267144834265,356607
"32","2112614",144.962646257624,-37.8242080912727,"Melbourne",144.9750162,-37.82003131,1183.66869685704,-113.140804783116,32,144.958881551304,-37.8241164072152,357412
"33","2112206",144.961468238924,-37.8200619914628,"Melbourne",144.9750162,-37.82003131,1192.86175604739,-90.160105305552,33,144.961881551304,-37.8189202547924,359025
"34","2112232",144.970892793907,-37.8097551491776,"Melbourne",144.9750162,-37.82003131,1196.98033233197,-17.5869962782826,34,144.970881551304,-37.808527949947,362252
"35","2111908",144.984565260601,-37.8122708037694,"Melbourne",144.9750162,-37.82003131,1203.70720483725,44.185024129561,35,144.982881551304,-37.8137241023697,360644
"36","2112616",144.962613695187,-37.8250380851893,"Melbourne",144.9750162,-37.82003131,1225.24063958784,-117.065797497244,36,144.958881551304,-37.8293125596379,355800
"37","2111901",144.988806642158,-37.8183711448545,"Melbourne",144.9750162,-37.82003131,1228.12289360905,81.330790775564,37,144.982881551304,-37.8189202547924,359032
"38","2112615",144.96228431199,-37.8245610470338,"Melbourne",144.9750162,-37.82003131,1228.55732210014,-114.242929357252,38,144.957381551304,-37.8267144834265,356606
"39","2112602",144.966953376307,-37.8291872308652,"Melbourne",144.9750162,-37.82003131,1239.62356014185,-145.175479564627,39,144.964881551304,-37.8293125596379,355802
"40","2112601",144.968362546669,-37.8301113480064,"Melbourne",144.9750162,-37.82003131,1262.89811924977,-152.460867112615,40,144.969381551304,-37.8319106358492,354998
"41","2112221",144.968201915441,-37.8099895161384,"Melbourne",144.9750162,-37.82003131,1265.81730806035,-28.1929657034161,41,144.964881551304,-37.808527949947,362250
"42","2112617",144.961964537658,-37.8248468756732,"Melbourne",144.9750162,-37.82003131,1267.34699489346,-115.032836174744,42,144.955881551304,-37.8241164072152,357411
"43","2112215",144.960570073731,-37.8177768922604,"Melbourne",144.9750162,-37.82003131,1296.33638568201,-78.8205562739252,43,144.960381551304,-37.8163221785811,359831
"44","2113219",144.969250538401,-37.830804460936,"Melbourne",144.9750162,-37.82003131,1299.03402359231,-157.082703605322,44,144.966381551304,-37.8319106358492,354997
"45","2112618",144.96120666561,-37.8242667309505,"Melbourne",144.9750162,-37.82003131,1303.5708094172,-111.215538533827,45,144.957381551304,-37.8215183310038,358218
"46","2112626",144.963189537271,-37.8271639767563,"Melbourne",144.9750162,-37.82003131,1308.0376900847,-127.358564688153,46,144.961881551304,-37.8293125596379,355801
"47","2113217",144.970750944689,-37.8313716660948,"Melbourne",144.9750162,-37.82003131,1313.52706613233,-163.452842986833,47,144.970881551304,-37.8293125596379,355804
"48","2112226",144.965741340856,-37.8107075615694,"Melbourne",144.9750162,-37.82003131,1318.30291720282,-38.1591285015995,48,144.963381551304,-37.8111260261584,361444
"49","2111902",144.98913780592,-37.8156536497669,"Melbourne",144.9750162,-37.82003131,1334.96741206365,68.5696591147981,49,144.987381551304,-37.8163221785811,359840
"50","2112213",144.961698035338,-37.8141149685345,"Melbourne",144.9750162,-37.82003131,1344.0161336099,-60.6452413494763,50,144.961881551304,-37.8137241023697,360637
"51","2112234",144.970193,-37.8084738333333,"Melbourne",144.9750162,-37.82003131,1351.27908341906,-18.2451944374874,51,144.969381551304,-37.8059298737357,363058
"52","2111915",144.983116419838,-37.809673282048,"Melbourne",144.9750162,-37.82003131,1352.94935003324,31.7050989358756,52,144.981381551304,-37.8111260261584,361450
"53","2111906",144.987171821391,-37.8125625762998,"Melbourne",144.9750162,-37.82003131,1353.80663909327,52.1214289071992,53,144.985881551304,-37.8137241023697,360645
"54","2113221",144.969220720523,-37.8314698151067,"Melbourne",144.9750162,-37.82003131,1368.29292880006,-158.186760505541,54,144.970881551304,-37.8345087120606,354192
"55","2112233",144.971068302741,-37.8080665943536,"Melbourne",144.9750162,-37.82003131,1372.74907782261,-14.609024732098,55,144.972381551304,-37.8059298737357,363059
"56","2114424",144.990562948473,-37.821699423472,"Melbourne",144.9750162,-37.82003131,1381.29399524812,97.7303933566043,56,144.984381551304,-37.8215183310038,358227
"57","2113218",144.967971402288,-37.8311989454099,"Melbourne",144.9750162,-37.82003131,1386.04826623516,-153.511920460829,57,144.967881551304,-37.8345087120606,354191
"58","2114408",144.990882861353,-37.8190196371245,"Melbourne",144.9750162,-37.82003131,1401.52673833063,85.3804805030775,58,144.985881551304,-37.8189202547924,359033
"59","2113220",144.9683301,-37.8316211666667,"Melbourne",144.9750162,-37.82003131,1414.68262513978,-155.500382376919,59,144.964881551304,-37.8345087120606,354190
"60","2112220",144.968012358121,-37.8082297380384,"Melbourne",144.9750162,-37.82003131,1447.81445785162,-25.1169668617107,60,144.966381551304,-37.8059298737357,363057
"61","2112513",144.985837127239,-37.8299412437015,"Melbourne",144.9750162,-37.82003131,1455.15521735984,139.218915423124,61,144.985881551304,-37.8293125596379,355809
"62","2114206",144.978696287832,-37.8072071266566,"Melbourne",144.9750162,-37.82003131,1459.8192875253,12.7721912893722,62,144.978381551304,-37.8059298737357,363061
"63","2111909",144.985727668367,-37.8099602082486,"Melbourne",144.9750162,-37.82003131,1462.57171425198,40.0345679229158,63,144.984381551304,-37.8111260261584,361451
"64","2114215",144.975201523964,-37.8068416876166,"Melbourne",144.9750162,-37.82003131,1464.05124100194,0.635914163924509,64,144.975381551304,-37.8059298737357,363060
"65","2112623",144.958853815251,-37.8238011964335,"Melbourne",144.9750162,-37.82003131,1483.25733171244,-106.44605461152,65,144.954381551304,-37.8215183310038,358217
"66","2113222",144.968092316502,-37.8322647775341,"Melbourne",144.9750162,-37.82003131,1488.38957713121,-155.910719686876,66,144.969381551304,-37.8371067882719,353386
"67","2112216",144.958094893129,-37.8184786712434,"Melbourne",144.9750162,-37.82003131,1499.81928881686,-83.3693181474462,67,144.958881551304,-37.8189202547924,359024
